source.ip,destination.ip,destination.port
192.168.2.153,10.0.0.149,3389
192.168.5.229,199.232.69.194,80
192.168.2.99,10.0.1.222,3306
192.168.1.218,142.250.190.46,53
192.168.3.246,10.0.0.25,3389
192.168.5.229,10.0.0.25,3389
192.168.4.115,142.250.190.46,443
192.168.4.88,31.13.72.36,443
192.168.3.246,10.0.0.27,22
192.168.1.194,10.0.0.27,22
192.168.2.110,13.107.42.14,80
192.168.2.146,151.101.193.69,443
192.168.4.88,10.0.0.17,3389
192.168.3.31,10.0.0.119,3389
192.168.3.68,10.0.0.151,3389
192.168.2.110,142.250.190.46,443
192.168.3.31,23.185.0.2,80
192.168.3.31,52.94.236.248,80
192.168.2.110,199.232.69.194,80
192.168.1.194,31.13.72.36,443
192.168.4.238,10.0.0.149,3389
192.168.2.102,10.0.1.107,3306
192.168.2.112,10.0.0.32,3389
192.168.2.146,199.232.69.194,80
192.168.1.218,151.101.1.69,22
192.168.3.68,10.0.0.27,3389
192.168.2.245,10.0.1.226,3306
192.168.1.194,10.0.0.17,3389
192.168.1.114,10.0.0.119,3389
192.168.3.68,10.0.0.151,25
192.168.5.229,199.232.69.194,80
192.168.2.22,10.0.1.22,3306
192.168.5.229,10.0.0.245,21
192.168.1.114,151.101.193.69,53
192.168.4.115,10.0.0.27,123
192.168.4.73,31.13.72.36,53
192.168.2.146,52.94.236.248,80
192.168.4.238,10.0.0.245,3389
192.168.1.114,10.0.0.119,22
192.168.4.238,13.107.42.14,443
192.168.4.238,10.0.0.245,22
192.168.3.246,10.0.0.27,3389
192.168.5.229,151.101.193.69,53
192.168.2.146,10.0.0.32,22
192.168.2.64,10.0.1.199,3306
192.168.2.27,10.0.1.81,3306
192.168.1.114,151.101.1.69,53
192.168.1.111,10.0.0.17,3389
192.168.2.51,10.0.0.27,22
192.168.1.111,151.101.193.69,80
192.168.5.252,10.0.0.149,3389
192.168.5.82,10.0.0.25,22
192.168.5.170,104.244.42.65,53
192.168.4.115,10.0.0.151,22
192.168.2.153,10.0.0.25,22
192.168.2.153,23.185.0.2,80
192.168.1.218,151.101.1.69,53
192.168.2.183,10.0.1.221,3306
192.168.1.114,10.0.0.151,3389
192.168.1.111,10.0.0.27,3389
192.168.3.68,10.0.0.149,3389
192.168.5.170,10.0.0.151,3389
192.168.3.68,10.0.0.27,22
192.168.5.252,151.101.193.69,443
192.168.3.246,199.232.69.194,53
192.168.2.146,151.101.1.69,80
192.168.2.150,10.0.1.232,3306
192.168.4.73,13.107.42.14,443
192.168.2.153,10.0.0.27,22
192.168.4.238,10.0.0.245,22
192.168.2.51,52.94.236.248,53
192.168.2.110,10.0.0.17,3389
192.168.5.252,199.232.69.194,80
192.168.2.146,10.0.0.27,3389
192.168.3.246,10.0.0.27,22
192.168.3.246,10.0.0.32,3389
192.168.2.102,10.0.1.201,3306
192.168.2.168,10.0.1.79,3306
192.168.3.246,13.107.42.14,80
192.168.4.88,10.0.0.1,3389
192.168.2.110,10.0.0.32,22
192.168.3.68,10.0.0.245,22
192.168.2.154,10.0.1.126,3306
192.168.2.51,151.101.1.69,80
192.168.3.68,52.94.236.248,80
192.168.3.68,172.217.160.78,53
192.168.5.82,10.0.0.1,22
192.168.2.112,142.250.190.46,23
192.168.5.170,52.94.236.248,1433
192.168.3.31,10.0.0.32,22
192.168.3.31,52.94.236.248,3389
192.168.5.170,10.0.0.32,3389
192.168.2.112,142.250.190.46,443
192.168.4.115,10.0.0.1,22
192.168.2.153,31.13.72.36,443
192.168.4.73,23.185.0.2,53
192.168.5.82,10.0.0.151,22
192.168.3.68,10.0.0.27,3389
192.168.3.68,10.0.0.17,3389
192.168.4.115,10.0.0.1,3389
192.168.1.194,104.244.42.65,80
192.168.3.68,31.13.72.36,53
192.168.2.153,10.0.0.119,3389
192.168.5.82,13.107.42.14,53
192.168.2.112,151.101.193.69,443
192.168.4.238,23.185.0.2,80
192.168.3.31,10.0.0.27,3389
192.168.2.146,151.101.1.69,443
192.168.2.112,10.0.0.1,3389
192.168.4.88,23.185.0.2,80
192.168.2.153,10.0.0.32,3389
192.168.2.212,10.0.1.108,3306
192.168.2.180,10.0.1.108,3306
192.168.3.246,10.0.0.149,22
192.168.1.114,104.244.42.65,53
192.168.5.252,13.107.42.14,53
192.168.2.51,151.101.1.69,53
192.168.3.246,151.101.1.69,443
192.168.3.246,104.244.42.65,53
192.168.1.194,10.0.0.1,3389
192.168.1.194,52.94.236.248,443
192.168.1.218,52.94.236.248,80
192.168.3.31,199.232.69.194,53
192.168.3.68,10.0.0.245,3389
192.168.2.241,10.0.1.96,3306
192.168.2.236,10.0.1.203,3306
192.168.5.170,52.94.236.248,80
192.168.1.218,10.0.0.32,3389
192.168.5.82,104.244.42.65,80
192.168.1.114,10.0.0.25,3389
192.168.3.68,142.250.190.46,80
192.168.2.5,10.0.1.42,3306
192.168.4.88,104.244.42.65,80
192.168.4.115,199.232.69.194,53
192.168.2.51,52.94.236.248,80
192.168.3.68,10.0.0.32,22
192.168.2.51,10.0.0.27,22
192.168.5.82,10.0.0.1,22
192.168.2.110,23.185.0.2,443
192.168.1.114,151.101.193.69,53
192.168.2.153,10.0.0.119,123
192.168.4.88,10.0.0.119,3389
192.168.2.190,10.0.1.229,3306
192.168.1.111,10.0.0.32,3389
192.168.4.238,13.107.42.14,80
192.168.2.17,10.0.1.138,3306
192.168.4.238,104.244.42.65,25
192.168.2.27,10.0.1.83,3306
192.168.2.51,142.250.190.46,80
192.168.2.110,10.0.0.245,22
192.168.2.43,10.0.1.244,3306
192.168.2.110,10.0.0.27,3389
192.168.4.238,52.94.236.248,443
192.168.2.77,10.0.1.173,3306
192.168.5.170,151.101.1.69,80
192.168.2.146,10.0.0.17,3389
192.168.2.37,10.0.1.82,3306
192.168.2.231,10.0.1.19,3306
192.168.3.246,172.217.160.78,3306
192.168.2.112,172.217.160.78,53
192.168.2.51,151.101.1.69,443
192.168.1.218,10.0.0.149,22
192.168.2.169,10.0.1.170,3306
192.168.3.31,10.0.0.27,22
192.168.3.68,142.250.190.46,80
192.168.4.73,10.0.0.27,22
192.168.3.68,142.250.190.46,80
192.168.3.246,10.0.0.245,3389
192.168.2.112,10.0.0.149,22
192.168.2.130,10.0.1.234,3306
192.168.1.218,31.13.72.36,80
192.168.2.146,10.0.0.27,22
192.168.4.238,151.101.1.69,53
192.168.1.111,10.0.0.27,3389
192.168.5.82,172.217.160.78,53
192.168.1.194,31.13.72.36,80
192.168.4.73,199.232.69.194,443
192.168.1.114,151.101.193.69,80
192.168.2.112,10.0.0.149,3389
192.168.4.73,151.101.193.69,3306
192.168.1.111,10.0.0.149,22
192.168.2.16,10.0.1.86,3306
192.168.3.31,13.107.42.14,80
192.168.2.70,10.0.1.176,3306
192.168.2.121,10.0.1.202,3306
192.168.1.218,52.94.236.248,443
192.168.1.114,172.217.160.78,443
192.168.5.82,52.94.236.248,80
192.168.4.115,10.0.0.1,25
192.168.2.146,52.94.236.248,80
192.168.2.51,23.185.0.2,25
192.168.1.218,10.0.0.119,22
192.168.4.88,23.185.0.2,80
192.168.3.31,104.244.42.65,80
192.168.4.238,199.232.69.194,443
192.168.4.115,13.107.42.14,53
192.168.1.114,23.185.0.2,443
192.168.4.88,10.0.0.27,3389
192.168.1.114,10.0.0.32,22
192.168.3.68,142.250.190.46,80
192.168.2.153,52.94.236.248,53
192.168.5.82,10.0.0.245,22
192.168.5.229,10.0.0.27,22
192.168.2.168,10.0.1.173,3306
192.168.1.218,10.0.0.1,3389
192.168.4.88,199.232.69.194,443
192.168.5.170,52.94.236.248,53
192.168.5.170,151.101.1.69,80
192.168.3.31,10.0.0.27,3389
192.168.2.246,10.0.1.104,3306
192.168.1.114,142.250.190.46,80
192.168.2.178,10.0.1.228,3306
192.168.1.111,10.0.0.17,3389
192.168.5.82,199.232.69.194,53
192.168.2.153,10.0.0.1,3389
192.168.5.170,10.0.0.17,3389
192.168.5.252,10.0.0.149,3389
192.168.5.82,172.217.160.78,80
192.168.4.115,10.0.0.32,22
192.168.1.194,172.217.160.78,443
192.168.5.82,52.94.236.248,80
192.168.5.170,10.0.0.25,3389
192.168.1.194,10.0.0.1,3389
192.168.1.218,199.232.69.194,443
192.168.2.98,10.0.1.144,3306
192.168.2.65,10.0.1.219,3306
192.168.4.88,23.185.0.2,80
192.168.2.146,10.0.0.32,22
192.168.2.146,10.0.0.245,3389
192.168.2.51,172.217.160.78,53
192.168.3.31,142.250.190.46,443
192.168.2.2,10.0.1.175,3306
192.168.2.110,10.0.0.27,22
192.168.2.51,199.232.69.194,443
192.168.1.111,10.0.0.25,443
192.168.5.82,10.0.0.27,3389
192.168.5.82,172.217.160.78,53
192.168.4.73,31.13.72.36,123
192.168.5.252,199.232.69.194,22
192.168.3.31,23.185.0.2,80
192.168.2.110,31.13.72.36,53
192.168.4.115,10.0.0.17,22
192.168.2.236,10.0.1.247,3306
192.168.2.146,10.0.0.25,22
192.168.1.218,10.0.0.149,3389
192.168.4.238,10.0.0.27,22
192.168.1.218,199.232.69.194,80
192.168.2.10,10.0.1.99,3306
192.168.2.83,10.0.1.9,3306
192.168.4.73,10.0.0.119,22
192.168.5.229,104.244.42.65,80
192.168.1.194,31.13.72.36,53
192.168.4.115,10.0.0.149,22
192.168.3.68,13.107.42.14,53
192.168.2.194,10.0.1.130,3306
192.168.2.146,10.0.0.245,22
192.168.4.115,23.185.0.2,80
192.168.5.170,10.0.0.32,3389
192.168.5.252,10.0.0.17,443
192.168.2.22,10.0.1.94,3306
192.168.2.119,10.0.1.117,3306
192.168.1.111,10.0.0.17,3389
192.168.2.110,10.0.0.151,3389
192.168.4.88,199.232.69.194,53
192.168.1.111,151.101.193.69,80
192.168.5.252,142.250.190.46,53
192.168.1.114,104.244.42.65,80
192.168.2.230,10.0.1.80,3306
192.168.2.114,10.0.1.46,3306
192.168.5.252,10.0.0.25,3389
192.168.5.170,10.0.0.1,22
192.168.4.115,23.185.0.2,443
192.168.3.68,10.0.0.149,22
192.168.1.218,10.0.0.149,3389
192.168.4.73,10.0.0.27,22
192.168.1.114,172.217.160.78,443
192.168.1.218,151.101.193.69,53
192.168.3.246,10.0.0.245,3389
192.168.2.51,10.0.0.27,3389
192.168.3.246,10.0.0.119,22
192.168.5.229,10.0.0.149,22
192.168.2.110,10.0.0.32,22
192.168.4.115,199.232.69.194,443
192.168.4.88,10.0.0.27,22
192.168.5.82,151.101.1.69,53
192.168.3.68,10.0.0.27,3389
192.168.4.73,10.0.0.245,123
192.168.4.88,10.0.0.32,22
192.168.4.238,199.232.69.194,80
192.168.2.51,10.0.0.151,25
192.168.5.252,10.0.0.27,161
192.168.2.146,199.232.69.194,53
192.168.1.111,10.0.0.25,3306
192.168.4.73,13.107.42.14,443
192.168.4.88,199.232.69.194,443
192.168.5.229,52.94.236.248,443
192.168.4.238,13.107.42.14,53
192.168.4.73,199.232.69.194,53
192.168.3.68,104.244.42.65,443
192.168.2.147,10.0.1.32,3306
192.168.2.110,31.13.72.36,80
192.168.4.115,151.101.193.69,53
192.168.2.88,10.0.1.219,3306
192.168.4.115,10.0.0.119,22
192.168.5.82,10.0.0.151,22
192.168.4.73,23.185.0.2,443
192.168.3.68,104.244.42.65,80
192.168.4.115,10.0.0.151,22
192.168.2.112,10.0.0.27,3389
192.168.2.112,104.244.42.65,53
192.168.4.238,104.244.42.65,21
192.168.2.153,10.0.0.1,3389
192.168.2.159,10.0.1.83,3306
192.168.5.252,10.0.0.25,22
192.168.2.110,172.217.160.78,53
192.168.3.68,31.13.72.36,80
192.168.2.110,13.107.42.14,443
192.168.2.184,10.0.1.29,3306
192.168.5.170,23.185.0.2,443
192.168.2.57,10.0.1.6,3306
192.168.4.73,10.0.0.32,3389
192.168.4.73,13.107.42.14,80
192.168.2.110,13.107.42.14,443
192.168.1.194,10.0.0.25,22
192.168.2.51,10.0.0.149,22
192.168.5.252,10.0.0.119,22
192.168.3.31,10.0.0.25,3389
192.168.5.229,23.185.0.2,443
192.168.2.234,10.0.1.214,3306
192.168.3.31,23.185.0.2,443
192.168.2.81,10.0.1.240,3306
192.168.1.114,151.101.193.69,443
192.168.3.31,10.0.0.32,22
192.168.2.51,104.244.42.65,80
192.168.2.177,10.0.1.241,3306
192.168.4.115,10.0.0.149,3389
192.168.4.115,10.0.0.17,1433
192.168.3.68,10.0.0.1,3389
192.168.3.246,151.101.1.69,443
192.168.5.82,104.244.42.65,53
192.168.3.246,52.94.236.248,53
192.168.2.110,23.185.0.2,80
192.168.4.115,10.0.0.245,22
192.168.2.146,10.0.0.17,22
192.168.4.73,142.250.190.46,443
192.168.1.218,199.232.69.194,161
192.168.5.170,151.101.193.69,53
192.168.5.82,10.0.0.27,22
192.168.2.51,10.0.0.25,22
192.168.1.114,10.0.0.27,123
192.168.2.112,199.232.69.194,80
192.168.3.31,104.244.42.65,80
192.168.4.88,172.217.160.78,53
192.168.2.153,10.0.0.119,22
192.168.2.70,10.0.1.71,3306
192.168.2.91,10.0.1.23,3306
192.168.5.229,142.250.190.46,443
192.168.5.170,10.0.0.25,3389
192.168.1.218,10.0.0.1,3389
192.168.1.111,10.0.0.25,3389
192.168.2.248,10.0.1.145,3306
192.168.1.218,142.250.190.46,443
192.168.1.114,104.244.42.65,443
192.168.2.112,10.0.0.1,1433
192.168.4.115,23.185.0.2,80
192.168.3.246,172.217.160.78,21
192.168.4.88,10.0.0.245,3389
192.168.4.88,52.94.236.248,22
192.168.1.218,10.0.0.27,53
192.168.1.218,52.94.236.248,443
192.168.5.82,10.0.0.17,22
192.168.4.115,151.101.1.69,80
192.168.5.82,151.101.193.69,22
192.168.5.170,52.94.236.248,3306
192.168.2.51,10.0.0.245,22
192.168.2.163,10.0.1.215,3306
192.168.3.31,151.101.1.69,53
192.168.3.68,199.232.69.194,80
192.168.5.170,23.185.0.2,53
192.168.1.218,172.217.160.78,443
192.168.1.114,142.250.190.46,3306
192.168.2.30,10.0.1.5,3306
192.168.5.229,10.0.0.17,22
192.168.2.146,10.0.0.119,3389
192.168.5.252,151.101.1.69,80
192.168.5.229,52.94.236.248,53
192.168.3.31,104.244.42.65,443
192.168.1.114,10.0.0.32,3389
192.168.1.114,142.250.190.46,80
192.168.2.110,104.244.42.65,80
192.168.2.146,10.0.0.25,3389
192.168.5.229,52.94.236.248,443
192.168.3.246,10.0.0.151,22
192.168.3.31,52.94.236.248,53
192.168.2.146,10.0.0.27,3389
192.168.2.156,10.0.1.195,3306
192.168.3.31,104.244.42.65,80
192.168.1.218,199.232.69.194,443
192.168.2.153,151.101.193.69,443
192.168.1.111,52.94.236.248,3306
192.168.5.170,52.94.236.248,80
192.168.4.238,10.0.0.149,3389
192.168.3.246,31.13.72.36,53
192.168.2.51,13.107.42.14,443
192.168.3.31,199.232.69.194,53
192.168.5.82,31.13.72.36,80
192.168.2.110,10.0.0.245,22
192.168.4.238,23.185.0.2,443
192.168.2.240,10.0.1.228,3306
192.168.5.229,10.0.0.151,22
192.168.2.110,10.0.0.151,22
192.168.1.218,10.0.0.32,3389
192.168.4.88,142.250.190.46,80
192.168.1.218,52.94.236.248,53
192.168.2.112,23.185.0.2,53
192.168.3.68,172.217.160.78,80
192.168.2.117,10.0.1.80,3306
192.168.5.229,10.0.0.151,3389
192.168.2.51,52.94.236.248,53
192.168.2.112,10.0.0.27,443
192.168.5.229,10.0.0.25,3389
192.168.2.110,13.107.42.14,443
192.168.1.111,151.101.1.69,161
192.168.2.51,10.0.0.25,3389
192.168.1.194,31.13.72.36,80
192.168.5.252,10.0.0.32,3389
192.168.5.82,10.0.0.119,22
192.168.5.82,142.250.190.46,80
192.168.3.68,23.185.0.2,443
192.168.1.218,10.0.0.17,22
192.168.1.218,10.0.0.32,22
192.168.2.51,10.0.0.17,22
192.168.4.115,10.0.0.119,3389
192.168.1.194,10.0.0.1,3389
192.168.2.120,10.0.1.207,3306
192.168.3.68,10.0.0.27,22
192.168.5.229,10.0.0.27,23
192.168.4.115,151.101.193.69,443
192.168.2.127,10.0.1.167,3306
192.168.2.55,10.0.1.49,3306
192.168.3.31,10.0.0.245,22
192.168.1.194,10.0.0.27,3389
192.168.2.153,10.0.1.145,3306
192.168.1.218,142.250.190.46,443
192.168.5.252,10.0.0.245,22
192.168.2.112,10.0.0.245,22
192.168.5.252,10.0.0.151,3389
192.168.2.70,10.0.1.55,3306
192.168.1.114,10.0.0.27,3389
192.168.5.252,142.250.190.46,443
192.168.5.170,10.0.0.32,3306
192.168.2.146,172.217.160.78,53
192.168.2.102,10.0.1.68,3306
192.168.2.146,151.101.1.69,53
192.168.1.114,10.0.0.27,3389
192.168.2.20,10.0.1.113,3306
192.168.4.73,10.0.0.27,443
192.168.1.114,151.101.193.69,80
192.168.1.194,10.0.0.149,22
192.168.3.31,151.101.1.69,21
192.168.2.51,10.0.0.25,22
192.168.5.252,10.0.0.149,22
192.168.2.46,10.0.1.15,3306
192.168.1.114,31.13.72.36,443
192.168.2.242,10.0.1.161,3306
192.168.5.82,151.101.193.69,443
192.168.5.252,31.13.72.36,53
192.168.2.51,10.0.0.17,3389
192.168.5.170,142.250.190.46,21
192.168.2.88,10.0.1.5,3306
192.168.2.51,10.0.0.149,22
192.168.2.67,10.0.1.63,3306
192.168.3.246,10.0.0.27,3389
192.168.4.238,10.0.0.119,23
192.168.5.229,172.217.160.78,53
192.168.5.252,52.94.236.248,80
192.168.2.12,10.0.1.105,3306
192.168.2.110,52.94.236.248,53
192.168.2.153,10.0.0.151,3389
192.168.1.111,10.0.0.119,22
192.168.2.163,10.0.1.222,3306
192.168.2.146,10.0.0.32,22
192.168.2.51,52.94.236.248,80
192.168.5.229,10.0.0.149,22
192.168.5.252,172.217.160.78,80
192.168.4.73,10.0.0.119,22
192.168.5.229,10.0.0.149,161
192.168.5.170,10.0.0.245,3389
192.168.5.252,10.0.0.119,22
192.168.2.3,10.0.1.241,3306
192.168.1.194,172.217.160.78,80
192.168.1.111,104.244.42.65,80
192.168.4.238,142.250.190.46,53
192.168.3.68,199.232.69.194,25
192.168.2.110,10.0.0.149,3389
192.168.1.111,10.0.0.245,3389
192.168.5.82,31.13.72.36,80
192.168.4.115,142.250.190.46,80
192.168.1.194,151.101.1.69,53
192.168.2.146,199.232.69.194,80
192.168.4.88,151.101.193.69,80
192.168.4.73,199.232.69.194,3389
192.168.4.88,10.0.0.151,3389
192.168.4.238,10.0.0.1,3389
192.168.2.112,23.185.0.2,443
192.168.2.146,23.185.0.2,80
192.168.2.102,10.0.1.179,3306
192.168.3.68,151.101.1.69,443
192.168.5.82,199.232.69.194,80
192.168.4.73,199.232.69.194,53
192.168.3.68,104.244.42.65,53
192.168.3.246,13.107.42.14,53
192.168.2.64,10.0.1.29,3306
192.168.1.218,151.101.193.69,23
192.168.3.246,23.185.0.2,443
192.168.2.162,10.0.1.8,3306
192.168.2.51,10.0.0.27,22
192.168.3.246,10.0.0.245,3389
192.168.1.218,199.232.69.194,443
192.168.2.134,10.0.1.154,3306
192.168.2.51,10.0.0.27,80
192.168.2.51,52.94.236.248,53
192.168.2.146,199.232.69.194,123
192.168.3.246,10.0.0.151,22
192.168.2.59,10.0.1.2,3306
192.168.2.203,10.0.1.138,3306
192.168.1.111,104.244.42.65,443
192.168.4.88,13.107.42.14,80
192.168.2.11,10.0.1.38,3306
192.168.1.111,10.0.0.27,22
192.168.1.114,142.250.190.46,443
192.168.5.229,142.250.190.46,80
192.168.1.218,52.94.236.248,443
192.168.3.68,199.232.69.194,53
192.168.2.49,10.0.1.111,3306
192.168.4.73,151.101.193.69,53
192.168.2.51,172.217.160.78,161
192.168.4.238,31.13.72.36,53
192.168.4.88,10.0.0.25,22
192.168.2.51,104.244.42.65,443
192.168.1.218,142.250.190.46,53
192.168.2.51,10.0.0.1,80
192.168.2.146,172.217.160.78,443
192.168.2.153,31.13.72.36,53
192.168.5.170,10.0.0.151,3389
192.168.4.73,151.101.1.69,53
192.168.5.82,52.94.236.248,53
192.168.5.229,10.0.0.32,3389
192.168.4.238,13.107.42.14,443
192.168.5.229,10.0.0.119,53
192.168.2.111,10.0.1.36,3306
192.168.2.153,23.185.0.2,443
192.168.5.82,23.185.0.2,443
192.168.4.238,151.101.193.69,53
192.168.1.194,10.0.0.245,3389
192.168.1.218,10.0.0.149,22
192.168.2.153,10.0.0.245,3389
192.168.5.252,10.0.0.17,3389
192.168.3.68,10.0.0.149,1433
192.168.1.218,199.232.69.194,80
192.168.1.114,104.244.42.65,53
192.168.5.170,10.0.0.149,22
192.168.2.146,10.0.0.1,21
192.168.2.51,10.0.0.151,22
192.168.3.68,199.232.69.194,443
192.168.3.31,52.94.236.248,443
192.168.4.73,23.185.0.2,53
192.168.5.170,10.0.0.27,3389
192.168.2.170,10.0.1.59,3306
192.168.2.184,10.0.1.191,3306
192.168.5.229,31.13.72.36,443
192.168.2.153,10.0.0.17,22
192.168.4.73,10.0.0.32,22
192.168.1.194,10.0.0.1,3306
192.168.3.31,10.0.0.1,22
192.168.4.88,10.0.0.119,3389
192.168.1.111,10.0.0.27,3389
192.168.2.112,10.0.0.245,22
192.168.5.82,31.13.72.36,80
192.168.3.31,23.185.0.2,53
192.168.5.170,52.94.236.248,443
192.168.2.51,199.232.69.194,80
192.168.2.51,10.0.0.149,3389
192.168.4.115,10.0.0.27,3389
192.168.4.88,151.101.193.69,53
192.168.2.5,10.0.1.169,3306
192.168.4.88,10.0.0.32,443
192.168.1.114,10.0.0.1,22
192.168.2.146,151.101.1.69,80
192.168.3.68,31.13.72.36,80
192.168.2.238,10.0.1.112,3306
192.168.4.238,10.0.0.17,22
192.168.4.88,199.232.69.194,53
192.168.5.229,10.0.0.119,53
192.168.2.23,10.0.1.66,3306
192.168.2.92,10.0.1.164,3306
192.168.2.51,10.0.0.1,22
192.168.3.246,172.217.160.78,53
192.168.2.112,10.0.0.149,3389
192.168.2.112,10.0.0.25,22
192.168.2.43,10.0.1.66,3306
192.168.5.229,10.0.0.17,22
192.168.4.88,10.0.0.1,3389
192.168.3.68,13.107.42.14,443
192.168.4.88,10.0.0.27,22
192.168.2.189,10.0.1.229,3306
192.168.4.73,52.94.236.248,53
192.168.4.238,172.217.160.78,3389
192.168.1.218,10.0.0.149,3389
192.168.2.146,151.101.193.69,53
192.168.3.246,10.0.0.27,22
192.168.2.51,10.0.0.27,22
192.168.5.229,142.250.190.46,53
192.168.5.82,10.0.0.27,3389
192.168.2.110,10.0.0.27,3389
192.168.2.110,10.0.0.151,53
192.168.5.229,10.0.0.27,3389
192.168.5.170,52.94.236.248,53
192.168.5.229,10.0.0.17,3389
192.168.2.77,10.0.1.231,3306
192.168.4.238,13.107.42.14,443
192.168.2.234,10.0.1.78,3306
192.168.1.111,23.185.0.2,80
192.168.2.51,10.0.0.27,3389
192.168.5.82,172.217.160.78,80
192.168.4.238,23.185.0.2,80
192.168.5.252,23.185.0.2,80
192.168.3.68,23.185.0.2,53
192.168.3.68,10.0.0.27,22
192.168.1.218,10.0.0.25,22
192.168.2.110,10.0.0.245,3389
192.168.4.238,10.0.0.1,22
192.168.5.170,10.0.0.119,3389
192.168.1.114,52.94.236.248,53
192.168.2.215,10.0.1.224,3306
192.168.2.219,10.0.1.68,3306
192.168.5.229,104.244.42.65,80
192.168.2.176,10.0.1.117,3306
192.168.2.218,10.0.1.25,3306
192.168.4.73,172.217.160.78,53
192.168.2.110,172.217.160.78,443
192.168.3.68,13.107.42.14,53
192.168.3.246,151.101.1.69,443
192.168.1.114,151.101.193.69,53
192.168.1.194,10.0.0.149,21
192.168.4.88,104.244.42.65,80
192.168.5.170,10.0.0.32,3389
192.168.3.246,10.0.0.27,3389
192.168.2.239,10.0.1.41,3306
192.168.2.112,13.107.42.14,80
192.168.2.153,23.185.0.2,80
192.168.4.115,31.13.72.36,443
192.168.3.31,151.101.1.69,443
192.168.2.112,10.0.0.245,3389
192.168.1.194,10.0.0.17,22
192.168.2.110,31.13.72.36,443
192.168.4.88,10.0.0.27,80
192.168.4.238,10.0.0.119,3389
192.168.1.114,10.0.0.151,3389
192.168.2.153,10.0.0.1,3389
192.168.1.114,31.13.72.36,80
192.168.2.107,10.0.1.35,3306
192.168.1.218,10.0.0.25,22
192.168.5.229,52.94.236.248,53
192.168.5.252,31.13.72.36,80
192.168.4.88,199.232.69.194,53
192.168.2.112,23.185.0.2,443
192.168.1.194,10.0.0.119,123
192.168.2.47,10.0.1.91,3306
192.168.1.194,151.101.1.69,80
192.168.3.68,10.0.0.149,3389
192.168.4.238,23.185.0.2,443
192.168.3.68,10.0.0.1,22
192.168.3.31,10.0.0.149,3389
192.168.2.153,172.217.160.78,80
192.168.2.135,10.0.1.170,3306
192.168.2.153,10.0.0.151,3389
192.168.2.146,142.250.190.46,80
192.168.4.88,172.217.160.78,443
192.168.2.31,10.0.1.83,3306
192.168.3.246,104.244.42.65,3389
192.168.5.229,172.217.160.78,53
192.168.4.238,142.250.190.46,443
192.168.2.178,10.0.1.14,3306
192.168.5.252,10.0.0.151,22
192.168.2.110,10.0.0.149,1433
192.168.1.218,10.0.0.245,443
192.168.2.215,10.0.1.80,3306
192.168.5.170,10.0.0.27,3389
192.168.4.115,10.0.0.149,3389
192.168.5.82,10.0.0.151,3389
192.168.2.247,10.0.1.59,3306
192.168.1.111,104.244.42.65,53
192.168.5.170,10.0.0.25,22
192.168.2.51,199.232.69.194,53
192.168.3.31,10.0.0.151,22
192.168.5.252,151.101.193.69,80
192.168.2.51,10.0.0.17,3389
192.168.3.246,10.0.0.27,3389
192.168.2.146,151.101.193.69,53
192.168.2.51,151.101.193.69,443
192.168.1.111,10.0.0.1,22
192.168.2.146,142.250.190.46,53
