timestamp,source.ip,host.collector,destination.port,destination.ip,observer.egress.zone,observer.ingress.zone,rule.name
2025-04-02T21:02:12Z,192.168.2.153,fw-collector-03,53,104.244.42.65,external,internal,allow-dns
2025-04-02T21:02:32Z,192.168.2.112,fw-collector-03,443,13.107.42.14,external,internal,allow-web-https
2025-04-02T21:10:11Z,192.168.2.51,fw-collector-01,53,13.107.42.14,external,internal,allow-dns
2025-04-02T21:10:32Z,192.168.4.238,fw-collector-03,443,104.244.42.65,external,internal,allow-web-https
2025-04-02T21:10:39Z,192.168.2.110,fw-collector-02,22,10.0.0.245,dmz,internal,allow-ssh
2025-04-02T21:12:27Z,192.168.4.73,fw-collector-03,22,10.0.0.151,dmz,internal,allow-ssh
2025-04-02T21:14:15Z,192.168.4.115,fw-collector-02,53,52.94.236.248,external,internal,allow-dns
2025-04-02T21:14:44Z,192.168.4.238,fw-collector-01,443,172.217.160.78,external,internal,allow-web-https
2025-04-02T21:16:34Z,192.168.3.31,fw-collector-02,22,10.0.0.151,dmz,internal,allow-ssh
2025-04-02T21:16:35Z,192.168.2.8,fw-collector-01,3306,10.0.1.25,database,application,allow-database-access
2025-04-02T21:17:28Z,192.168.4.238,fw-collector-01,22,10.0.0.25,dmz,internal,allow-ssh
2025-04-02T21:18:38Z,192.168.1.114,fw-collector-03,443,52.94.236.248,external,internal,allow-web-https
2025-04-02T21:19:11Z,192.168.2.153,fw-collector-03,3389,10.0.0.149,dmz,internal,allow-rdp
2025-04-02T21:24:17Z,192.168.5.229,fw-collector-01,80,199.232.69.194,external,internal,allow-web-http
2025-04-02T21:24:21Z,192.168.2.99,fw-collector-01,3306,10.0.1.222,database,application,allow-database-access
2025-04-02T21:26:22Z,192.168.1.218,fw-collector-02,53,142.250.190.46,external,internal,allow-dns
2025-04-02T21:26:29Z,192.168.3.246,fw-collector-02,3389,10.0.0.25,dmz,internal,allow-rdp
2025-04-02T21:28:11Z,192.168.5.229,fw-collector-02,3389,10.0.0.25,dmz,internal,allow-rdp
2025-04-02T21:28:17Z,192.168.4.115,fw-collector-01,443,142.250.190.46,external,internal,allow-web-https
2025-04-02T21:30:40Z,192.168.4.88,fw-collector-02,443,31.13.72.36,external,internal,allow-web-https
2025-04-02T21:30:58Z,192.168.3.246,fw-collector-03,22,10.0.0.27,dmz,internal,allow-ssh
2025-04-02T21:31:58Z,192.168.1.194,fw-collector-03,22,10.0.0.27,dmz,internal,allow-ssh
2025-04-02T21:34:23Z,192.168.2.110,fw-collector-03,80,13.107.42.14,external,internal,allow-web-http
2025-04-02T21:36:32Z,192.168.2.146,fw-collector-02,443,151.101.193.69,external,internal,allow-web-https
2025-04-02T21:36:41Z,192.168.4.88,fw-collector-01,3389,10.0.0.17,dmz,internal,allow-rdp
2025-04-02T21:37:23Z,192.168.3.31,fw-collector-03,3389,10.0.0.119,dmz,internal,allow-rdp
2025-04-02T21:38:07Z,192.168.3.68,fw-collector-01,3389,10.0.0.151,dmz,internal,allow-rdp
2025-04-02T21:38:14Z,192.168.2.110,fw-collector-01,443,142.250.190.46,external,internal,allow-web-https
2025-04-02T21:40:09Z,192.168.3.31,fw-collector-01,80,23.185.0.2,external,internal,allow-web-http
2025-04-02T21:44:34Z,192.168.3.31,fw-collector-01,80,52.94.236.248,external,internal,allow-web-http
2025-04-02T21:47:59Z,192.168.2.110,fw-collector-02,80,199.232.69.194,external,internal,allow-web-http
2025-04-02T21:48:05Z,192.168.1.194,fw-collector-01,443,31.13.72.36,external,internal,allow-web-https
2025-04-02T21:48:33Z,192.168.4.238,fw-collector-02,3389,10.0.0.149,dmz,internal,allow-rdp
2025-04-02T21:50:29Z,192.168.2.102,fw-collector-03,3306,10.0.1.107,database,application,allow-database-access
2025-04-02T21:51:47Z,192.168.2.112,fw-collector-02,3389,10.0.0.32,dmz,internal,allow-rdp
2025-04-02T21:51:58Z,192.168.2.146,fw-collector-03,80,199.232.69.194,external,internal,allow-web-http
2025-04-02T21:52:39Z,192.168.1.218,fw-collector-01,22,151.101.1.69,database,application,allow-any-any
2025-04-02T21:53:23Z,192.168.3.68,fw-collector-02,3389,10.0.0.27,dmz,internal,allow-rdp
2025-04-02T21:53:56Z,192.168.2.245,fw-collector-01,3306,10.0.1.226,database,application,allow-database-access
2025-04-02T21:54:09Z,192.168.1.194,fw-collector-03,3389,10.0.0.17,dmz,internal,allow-rdp
2025-04-02T21:54:49Z,192.168.1.114,fw-collector-03,3389,10.0.0.119,dmz,internal,allow-rdp
2025-04-02T21:54:51Z,192.168.3.68,fw-collector-01,25,10.0.0.151,database,internal,allow-any-any
2025-04-02T21:55:08Z,192.168.5.229,fw-collector-02,80,199.232.69.194,external,internal,allow-web-http
2025-04-02T21:56:13Z,192.168.2.22,fw-collector-02,3306,10.0.1.22,database,application,allow-database-access
2025-04-02T21:57:14Z,192.168.5.229,fw-collector-03,21,10.0.0.245,dmz,internal,allow-any-any
2025-04-02T21:57:22Z,192.168.1.114,fw-collector-01,53,151.101.193.69,external,internal,allow-dns
2025-04-02T21:58:52Z,192.168.4.115,fw-collector-02,123,10.0.0.27,application,internal,allow-any-any
2025-04-02T21:59:32Z,192.168.4.73,fw-collector-03,53,31.13.72.36,external,internal,allow-dns
2025-04-02T21:59:56Z,192.168.2.146,fw-collector-02,80,52.94.236.248,external,internal,allow-web-http
2025-04-02T21:59:58Z,192.168.4.238,fw-collector-02,3389,10.0.0.245,dmz,internal,allow-rdp
2025-04-02T22:00:12Z,192.168.1.114,fw-collector-01,22,10.0.0.119,dmz,external,allow-any-any
2025-04-02T22:04:27Z,192.168.4.238,fw-collector-02,443,13.107.42.14,external,internal,allow-web-https
2025-04-02T22:04:53Z,192.168.4.238,fw-collector-01,22,10.0.0.245,dmz,internal,allow-ssh
2025-04-02T22:05:05Z,192.168.3.246,fw-collector-03,3389,10.0.0.27,dmz,internal,allow-rdp
2025-04-02T22:05:28Z,192.168.5.229,fw-collector-02,53,151.101.193.69,external,internal,allow-dns
2025-04-02T22:06:02Z,192.168.2.146,fw-collector-02,22,10.0.0.32,dmz,internal,allow-ssh
2025-04-02T22:06:50Z,192.168.2.64,fw-collector-03,3306,10.0.1.199,database,application,allow-database-access
2025-04-02T22:07:09Z,192.168.2.27,fw-collector-02,3306,10.0.1.81,database,application,allow-database-access
2025-04-02T22:08:48Z,192.168.1.114,fw-collector-02,53,151.101.1.69,external,internal,allow-dns
2025-04-02T22:09:05Z,192.168.1.111,fw-collector-01,3389,10.0.0.17,dmz,internal,allow-rdp
2025-04-02T22:10:41Z,192.168.2.51,fw-collector-01,22,10.0.0.27,dmz,internal,allow-ssh
2025-04-02T22:11:08Z,192.168.1.111,fw-collector-01,80,151.101.193.69,external,internal,allow-web-http
2025-04-02T22:12:03Z,192.168.5.252,fw-collector-02,3389,10.0.0.149,dmz,internal,allow-rdp
2025-04-02T22:12:50Z,192.168.5.82,fw-collector-02,22,10.0.0.25,dmz,internal,allow-ssh
2025-04-02T22:13:11Z,192.168.5.170,fw-collector-02,53,104.244.42.65,external,internal,allow-dns
2025-04-02T22:15:09Z,192.168.4.115,fw-collector-03,22,10.0.0.151,dmz,internal,allow-ssh
2025-04-02T22:16:31Z,192.168.2.153,fw-collector-03,22,10.0.0.25,dmz,internal,allow-ssh
2025-04-02T22:16:35Z,192.168.2.153,fw-collector-01,80,23.185.0.2,external,internal,allow-web-http
2025-04-02T22:16:54Z,192.168.1.218,fw-collector-02,53,151.101.1.69,external,internal,allow-dns
2025-04-02T22:17:00Z,192.168.2.183,fw-collector-01,3306,10.0.1.221,database,application,allow-database-access
2025-04-02T22:20:44Z,192.168.1.114,fw-collector-03,3389,10.0.0.151,dmz,internal,allow-rdp
2025-04-02T22:21:46Z,192.168.1.111,fw-collector-03,3389,10.0.0.27,database,application,allow-any-any
2025-04-02T22:26:11Z,192.168.3.68,fw-collector-03,3389,10.0.0.149,dmz,internal,allow-rdp
2025-04-02T22:28:04Z,192.168.5.170,fw-collector-01,3389,10.0.0.151,dmz,internal,allow-rdp
2025-04-02T22:34:51Z,192.168.3.68,fw-collector-02,22,10.0.0.27,dmz,internal,allow-ssh
2025-04-02T22:35:21Z,192.168.5.252,fw-collector-03,443,151.101.193.69,external,internal,allow-web-https
2025-04-02T22:35:43Z,192.168.3.246,fw-collector-01,53,199.232.69.194,external,internal,allow-dns
2025-04-02T22:35:49Z,192.168.2.146,fw-collector-02,80,151.101.1.69,external,internal,allow-web-http
2025-04-02T22:35:55Z,192.168.2.150,fw-collector-03,3306,10.0.1.232,database,application,allow-database-access
2025-04-02T22:36:31Z,192.168.4.73,fw-collector-02,443,13.107.42.14,external,internal,allow-web-https
2025-04-02T22:36:39Z,192.168.2.153,fw-collector-02,22,10.0.0.27,dmz,internal,allow-ssh
2025-04-02T22:36:55Z,192.168.4.238,fw-collector-02,22,10.0.0.245,dmz,internal,allow-ssh
2025-04-02T22:37:02Z,192.168.2.51,fw-collector-02,53,52.94.236.248,external,internal,allow-dns
2025-04-02T22:37:21Z,192.168.2.110,fw-collector-01,3389,10.0.0.17,dmz,internal,allow-rdp
2025-04-02T22:38:06Z,192.168.5.252,fw-collector-01,80,199.232.69.194,external,internal,allow-web-http
2025-04-02T22:39:25Z,192.168.2.146,fw-collector-03,3389,10.0.0.27,dmz,internal,allow-rdp
2025-04-02T22:41:25Z,192.168.3.246,fw-collector-01,22,10.0.0.27,dmz,internal,allow-ssh
2025-04-02T22:42:38Z,192.168.3.246,fw-collector-03,3389,10.0.0.32,dmz,internal,allow-rdp
2025-04-02T22:43:39Z,192.168.2.102,fw-collector-02,3306,10.0.1.201,database,application,allow-database-access
2025-04-02T22:44:20Z,192.168.2.168,fw-collector-01,3306,10.0.1.79,database,application,allow-database-access
2025-04-02T22:45:04Z,192.168.3.246,fw-collector-01,80,13.107.42.14,external,internal,allow-web-http
2025-04-02T22:46:14Z,192.168.4.88,fw-collector-01,3389,10.0.0.1,dmz,internal,allow-rdp
2025-04-02T22:46:39Z,192.168.2.110,fw-collector-03,22,10.0.0.32,dmz,internal,allow-ssh
2025-04-02T22:48:20Z,192.168.3.68,fw-collector-03,22,10.0.0.245,dmz,internal,allow-ssh
2025-04-02T22:49:12Z,192.168.2.154,fw-collector-01,3306,10.0.1.126,database,application,allow-database-access
2025-04-02T22:49:58Z,192.168.2.51,fw-collector-03,80,151.101.1.69,external,dmz,allow-any-any
2025-04-02T22:50:14Z,192.168.3.68,fw-collector-02,80,52.94.236.248,external,internal,allow-web-http
2025-04-02T22:50:20Z,192.168.3.68,fw-collector-03,53,172.217.160.78,external,internal,allow-dns
2025-04-02T22:50:42Z,192.168.5.82,fw-collector-01,22,10.0.0.1,dmz,internal,allow-ssh
2025-04-02T22:51:15Z,192.168.2.112,fw-collector-03,23,142.250.190.46,application,internal,allow-any-any
2025-04-02T22:51:44Z,192.168.5.170,fw-collector-03,1433,52.94.236.248,database,internal,allow-any-any
2025-04-02T22:55:32Z,192.168.3.31,fw-collector-01,22,10.0.0.32,dmz,internal,allow-ssh
2025-04-02T22:57:05Z,192.168.3.31,fw-collector-03,3389,52.94.236.248,external,dmz,allow-any-any
2025-04-02T23:01:23Z,192.168.5.170,fw-collector-01,3389,10.0.0.32,dmz,internal,allow-rdp
2025-04-02T23:01:48Z,192.168.2.112,fw-collector-01,443,142.250.190.46,external,internal,allow-web-https
2025-04-02T23:02:40Z,192.168.4.115,fw-collector-02,22,10.0.0.1,dmz,internal,allow-ssh
2025-04-02T23:03:07Z,192.168.2.153,fw-collector-01,443,31.13.72.36,external,internal,allow-web-https
2025-04-02T23:05:48Z,192.168.4.73,fw-collector-02,53,23.185.0.2,external,internal,allow-dns
2025-04-02T23:06:02Z,192.168.5.82,fw-collector-02,22,10.0.0.151,dmz,internal,allow-ssh
2025-04-02T23:06:31Z,192.168.3.68,fw-collector-03,3389,10.0.0.27,dmz,internal,allow-rdp
2025-04-02T23:06:38Z,192.168.3.68,fw-collector-01,3389,10.0.0.17,dmz,internal,allow-rdp
2025-04-02T23:06:49Z,192.168.4.115,fw-collector-01,3389,10.0.0.1,dmz,internal,allow-rdp
2025-04-02T23:07:07Z,192.168.1.194,fw-collector-01,80,104.244.42.65,external,internal,allow-web-http
2025-04-02T23:08:18Z,192.168.3.68,fw-collector-03,53,31.13.72.36,external,internal,allow-dns
2025-04-02T23:11:34Z,192.168.2.153,fw-collector-02,3389,10.0.0.119,dmz,internal,allow-rdp
2025-04-02T23:12:00Z,192.168.5.82,fw-collector-03,53,13.107.42.14,application,dmz,allow-any-any
2025-04-02T23:12:33Z,192.168.2.112,fw-collector-02,443,151.101.193.69,external,internal,allow-web-https
2025-04-02T23:14:10Z,192.168.4.238,fw-collector-02,80,23.185.0.2,external,internal,allow-web-http
2025-04-02T23:15:25Z,192.168.3.31,fw-collector-02,3389,10.0.0.27,dmz,internal,allow-rdp
2025-04-02T23:15:39Z,192.168.2.146,fw-collector-02,443,151.101.1.69,external,internal,allow-web-https
2025-04-02T23:18:14Z,192.168.2.112,fw-collector-03,3389,10.0.0.1,dmz,internal,allow-rdp
2025-04-02T23:20:37Z,192.168.4.88,fw-collector-01,80,23.185.0.2,external,internal,allow-web-http
2025-04-02T23:20:54Z,192.168.2.153,fw-collector-03,3389,10.0.0.32,dmz,internal,allow-rdp
2025-04-02T23:23:23Z,192.168.2.212,fw-collector-02,3306,10.0.1.108,database,application,allow-database-access
2025-04-02T23:23:31Z,192.168.2.180,fw-collector-02,3306,10.0.1.108,database,application,allow-database-access
2025-04-02T23:28:26Z,192.168.3.246,fw-collector-01,22,10.0.0.149,dmz,internal,allow-ssh
2025-04-02T23:29:59Z,192.168.1.114,fw-collector-03,53,104.244.42.65,external,internal,allow-dns
2025-04-02T23:31:18Z,192.168.5.252,fw-collector-02,53,13.107.42.14,external,internal,allow-dns
2025-04-02T23:33:39Z,192.168.2.51,fw-collector-03,53,151.101.1.69,external,internal,allow-dns
2025-04-02T23:33:47Z,192.168.3.246,fw-collector-01,443,151.101.1.69,external,internal,allow-web-https
2025-04-02T23:33:47Z,192.168.3.246,fw-collector-02,53,104.244.42.65,external,internal,allow-dns
2025-04-02T23:33:57Z,192.168.1.194,fw-collector-01,3389,10.0.0.1,dmz,internal,allow-rdp
2025-04-02T23:34:56Z,192.168.1.194,fw-collector-02,443,52.94.236.248,external,internal,allow-web-https
2025-04-02T23:36:10Z,192.168.1.218,fw-collector-03,80,52.94.236.248,external,internal,allow-web-http
2025-04-02T23:36:44Z,192.168.3.31,fw-collector-03,53,199.232.69.194,external,internal,allow-dns
2025-04-02T23:37:33Z,192.168.3.68,fw-collector-01,3389,10.0.0.245,dmz,internal,allow-rdp
2025-04-02T23:38:02Z,192.168.2.241,fw-collector-02,3306,10.0.1.96,database,application,allow-database-access
2025-04-02T23:42:00Z,192.168.2.236,fw-collector-03,3306,10.0.1.203,database,application,allow-database-access
2025-04-02T23:42:24Z,192.168.5.170,fw-collector-02,80,52.94.236.248,external,internal,allow-web-http
2025-04-02T23:44:39Z,192.168.1.218,fw-collector-02,3389,10.0.0.32,dmz,internal,allow-rdp
2025-04-02T23:46:09Z,192.168.5.82,fw-collector-03,80,104.244.42.65,external,internal,allow-web-http
2025-04-02T23:50:52Z,192.168.1.114,fw-collector-01,3389,10.0.0.25,dmz,internal,allow-rdp
2025-04-02T23:51:37Z,192.168.3.68,fw-collector-02,80,142.250.190.46,external,internal,allow-web-http
2025-04-02T23:52:00Z,192.168.2.5,fw-collector-02,3306,10.0.1.42,database,application,allow-database-access
2025-04-02T23:52:17Z,192.168.4.88,fw-collector-01,80,104.244.42.65,external,internal,allow-web-http
2025-04-02T23:52:36Z,192.168.4.115,fw-collector-03,53,199.232.69.194,external,internal,allow-dns
2025-04-02T23:53:35Z,192.168.2.51,fw-collector-03,80,52.94.236.248,external,internal,allow-web-http
2025-04-02T23:54:50Z,192.168.3.68,fw-collector-03,22,10.0.0.32,internal,application,allow-any-any
2025-04-02T23:55:47Z,192.168.2.51,fw-collector-03,22,10.0.0.27,dmz,internal,allow-ssh
2025-04-02T23:55:55Z,192.168.5.82,fw-collector-03,22,10.0.0.1,dmz,internal,allow-ssh
2025-04-02T23:56:11Z,192.168.2.110,fw-collector-01,443,23.185.0.2,external,internal,allow-web-https
2025-04-02T23:56:31Z,192.168.1.114,fw-collector-02,53,151.101.193.69,application,database,allow-any-any
2025-04-02T23:56:47Z,192.168.2.153,fw-collector-03,123,10.0.0.119,internal,external,allow-any-any
2025-04-02T23:57:27Z,192.168.4.88,fw-collector-02,3389,10.0.0.119,dmz,internal,allow-rdp
2025-04-02T23:57:57Z,192.168.2.190,fw-collector-02,3306,10.0.1.229,database,application,allow-database-access
2025-04-02T23:58:15Z,192.168.1.111,fw-collector-03,3389,10.0.0.32,dmz,internal,allow-rdp
2025-04-02T23:58:23Z,192.168.4.238,fw-collector-03,80,13.107.42.14,external,internal,allow-web-http
2025-04-02T23:59:23Z,192.168.2.17,fw-collector-02,3306,10.0.1.138,database,application,allow-database-access
2025-04-02T23:59:59Z,192.168.4.238,fw-collector-02,25,104.244.42.65,external,application,allow-any-any
2025-04-03T00:00:07Z,192.168.2.27,fw-collector-03,3306,10.0.1.83,database,application,allow-database-access
2025-04-03T00:00:10Z,192.168.2.51,fw-collector-03,80,142.250.190.46,external,internal,allow-web-http
2025-04-03T00:00:54Z,192.168.2.110,fw-collector-01,22,10.0.0.245,dmz,internal,allow-ssh
2025-04-03T00:01:15Z,192.168.2.43,fw-collector-03,3306,10.0.1.244,database,application,allow-database-access
2025-04-03T00:01:34Z,192.168.2.110,fw-collector-03,3389,10.0.0.27,dmz,internal,allow-rdp
2025-04-03T00:02:45Z,192.168.4.238,fw-collector-01,443,52.94.236.248,external,internal,allow-web-https
2025-04-03T00:03:24Z,192.168.2.77,fw-collector-01,3306,10.0.1.173,database,application,allow-database-access
2025-04-03T00:03:24Z,192.168.5.170,fw-collector-03,80,151.101.1.69,external,internal,allow-web-http
2025-04-03T00:03:51Z,192.168.2.146,fw-collector-01,3389,10.0.0.17,dmz,internal,allow-rdp
2025-04-03T00:05:27Z,192.168.2.37,fw-collector-02,3306,10.0.1.82,database,application,allow-database-access
2025-04-03T00:05:50Z,192.168.2.231,fw-collector-01,3306,10.0.1.19,database,application,allow-database-access
2025-04-03T00:05:57Z,192.168.3.246,fw-collector-02,3306,172.217.160.78,application,internal,allow-any-any
2025-04-03T00:08:09Z,192.168.2.112,fw-collector-03,53,172.217.160.78,external,internal,allow-dns
2025-04-03T00:08:11Z,192.168.2.51,fw-collector-02,443,151.101.1.69,external,internal,allow-web-https
2025-04-03T00:09:16Z,192.168.1.218,fw-collector-01,22,10.0.0.149,dmz,internal,allow-ssh
2025-04-03T00:10:42Z,192.168.2.169,fw-collector-01,3306,10.0.1.170,database,application,allow-database-access
2025-04-03T00:12:32Z,192.168.3.31,fw-collector-01,22,10.0.0.27,dmz,internal,allow-ssh
2025-04-03T00:14:17Z,192.168.3.68,fw-collector-03,80,142.250.190.46,external,internal,allow-web-http
2025-04-03T00:15:38Z,192.168.4.73,fw-collector-01,22,10.0.0.27,dmz,internal,allow-ssh
2025-04-03T00:15:55Z,192.168.3.68,fw-collector-01,80,142.250.190.46,external,internal,allow-web-http
2025-04-03T00:17:51Z,192.168.3.246,fw-collector-03,3389,10.0.0.245,dmz,internal,allow-rdp
2025-04-03T00:19:20Z,192.168.2.112,fw-collector-03,22,10.0.0.149,dmz,internal,allow-ssh
2025-04-03T00:19:48Z,192.168.2.130,fw-collector-02,3306,10.0.1.234,database,application,allow-database-access
2025-04-03T00:22:14Z,192.168.1.218,fw-collector-02,80,31.13.72.36,external,internal,allow-web-http
2025-04-03T00:22:14Z,192.168.2.146,fw-collector-02,22,10.0.0.27,dmz,internal,allow-ssh
2025-04-03T00:23:00Z,192.168.4.238,fw-collector-03,53,151.101.1.69,external,internal,allow-dns
2025-04-03T00:23:33Z,192.168.1.111,fw-collector-02,3389,10.0.0.27,dmz,internal,allow-rdp
2025-04-03T00:23:48Z,192.168.5.82,fw-collector-01,53,172.217.160.78,external,internal,allow-dns
2025-04-03T00:23:57Z,192.168.1.194,fw-collector-03,80,31.13.72.36,external,internal,allow-web-http
2025-04-03T00:24:11Z,192.168.4.73,fw-collector-01,443,199.232.69.194,external,internal,allow-web-https
2025-04-03T00:24:25Z,192.168.1.114,fw-collector-01,80,151.101.193.69,external,internal,allow-web-http
2025-04-03T00:24:32Z,192.168.2.112,fw-collector-01,3389,10.0.0.149,dmz,internal,allow-rdp
2025-04-03T00:24:37Z,192.168.4.73,fw-collector-03,3306,151.101.193.69,external,dmz,allow-any-any
2025-04-03T00:24:56Z,192.168.1.111,fw-collector-02,22,10.0.0.149,dmz,internal,allow-ssh
2025-04-03T00:25:14Z,192.168.2.16,fw-collector-02,3306,10.0.1.86,database,application,allow-database-access
2025-04-03T00:26:47Z,192.168.3.31,fw-collector-01,80,13.107.42.14,external,internal,allow-web-http
2025-04-03T00:28:32Z,192.168.2.70,fw-collector-02,3306,10.0.1.176,database,application,allow-database-access
2025-04-03T00:29:03Z,192.168.2.121,fw-collector-01,3306,10.0.1.202,database,application,allow-database-access
2025-04-03T00:32:23Z,192.168.1.218,fw-collector-03,443,52.94.236.248,external,internal,allow-web-https
2025-04-03T00:32:50Z,192.168.1.114,fw-collector-02,443,172.217.160.78,external,internal,allow-web-https
2025-04-03T00:33:39Z,192.168.5.82,fw-collector-01,80,52.94.236.248,external,internal,allow-web-http
2025-04-03T00:34:26Z,192.168.4.115,fw-collector-02,25,10.0.0.1,external,database,allow-any-any
2025-04-03T00:35:19Z,192.168.2.146,fw-collector-03,80,52.94.236.248,external,internal,allow-web-http
2025-04-03T00:39:12Z,192.168.2.51,fw-collector-03,25,23.185.0.2,database,external,allow-any-any
2025-04-03T00:39:18Z,192.168.1.218,fw-collector-01,22,10.0.0.119,dmz,internal,allow-ssh
2025-04-03T00:40:25Z,192.168.4.88,fw-collector-03,80,23.185.0.2,external,internal,allow-web-http
2025-04-03T00:40:35Z,192.168.3.31,fw-collector-03,80,104.244.42.65,external,internal,allow-web-http
2025-04-03T00:41:11Z,192.168.4.238,fw-collector-02,443,199.232.69.194,external,internal,allow-web-https
2025-04-03T00:41:47Z,192.168.4.115,fw-collector-03,53,13.107.42.14,external,internal,allow-dns
2025-04-03T00:46:29Z,192.168.1.114,fw-collector-02,443,23.185.0.2,external,internal,allow-web-https
2025-04-03T00:46:31Z,192.168.4.88,fw-collector-01,3389,10.0.0.27,dmz,internal,allow-rdp
2025-04-03T00:46:43Z,192.168.1.114,fw-collector-03,22,10.0.0.32,dmz,internal,allow-ssh
2025-04-03T00:47:09Z,192.168.3.68,fw-collector-01,80,142.250.190.46,external,internal,allow-web-http
